CNP0412833.1 | C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)C([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O | C5
CNP0446644.1 | CC(C)C[C@@H](NC(=O)C(NC=O)C(C)C)C(=O)OC(C)(C)C | C5
CNP0529509.1 | C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CNC(N)=[N+]2)NC(=O)[C@H]([C@@H](O)[C@@H]2CNC(N)=N2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O | C5
CNP0467593.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0485574.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0581230.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0454479.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0497613.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0044325.3 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0553491.1 | O=CCCN[C@H](C(=O)[O-])C(=O)O | C6
CNP0464703.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0044325.2 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0475590.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0464273.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0499335.1 | O=CCCN[C@H](C(=O)[O-])C(=O)O | C6
CNP0469921.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0351098.1 | C[C@@H](c1ccccc1)[C@@H]1NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)C([C@@H](O)[C@@H]2CN=C(N)N2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC1=O | C5
CNP0448499.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0446928.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0217418.4 | C[C@@H](NC(=O)OC(C)(C)C)C(=O)O | C6
CNP0599686.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0042871.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0540241.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
CNP0448203.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0506732.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0480392.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0593424.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
CNP0530261.1 | CN[C@H](C(=O)O)C(=O)O | C6
CNP0465805.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0456265.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0457436.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0444683.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0558777.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
CNP0441223.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0439020.1 | O=CCCN[C@@H](C(=O)O)C(=O)O | C6
CNP0554013.1 | CN[C@H](C(=O)[O-])C(=O)O | C6
